no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
1,0,12,Y(Y),3,N,Y,0.6692,0.5,4,Y,Y,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
2,1,36,Y(Y),6,Y,Y,1,0.6315,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
3,2,36,Y(Y),2,Y,Y,0.9571,0.7894,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
4,3,5,Y(Y),6,N,Y,0.523,0.9736,3,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
5,4,3,Y(Y),6,Y,Y,0.85,1,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
6,5,3,Y(Y),6,N,Y,0.5,0.9027,3,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
7,6,2,Y(Y),6,Y,Y,1,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
8,7,2,Y(Y),6,Y,Y,1,0.7894,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
9,8,2,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
10,9,2,Y(Y),6,N,Y,0.6769,1,3,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
11,10,1,Y(Y),6,Y,Y,0.8178,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
12,11,1,Y(Y),6,N,Y,0.8214,0.9473,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
13,12,1,Y(Y),6,N,Y,0.7928,0.8421,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
14,13,1,Y(Y),6,N,Y,0.7857,1,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
15,14,1,Y(Y),6,N,Y,0.7571,0.9736,4,Y,N,CAS4131-01,CAS4131-01,THEORY AND PRACTICE OF CONNECTED PLATFORM,2026,1,이경우,이경우,"월2,3,4",30.0,30.0,7.2,15.0
