no,rank,mileage_bid,전공자(전공자정원_포함여부),num_courses_applied,graduation_applicant,first_time_enrollment,total_credit_ratio,prev_semester_credit_ratio,grade_year,enrolled,특수교육대상자,course_code,scraped_code,course_name,year,semester,professor,professor_norm,lecture_time,capacity,major_quota,avg_mileage,total_applicants
,,,,,,,,,,,,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
1,1,3,Y(Y),6,Y,Y,0.8892,0.9736,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
2,2,3,Y(Y),6,N,Y,0.7392,0.9473,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
3,3,2,Y(Y),6,N,Y,0.8153,1,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
4,4,1,Y(Y),6,Y,Y,0.95,0.7916,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
5,5,1,Y(Y),6,Y,Y,0.9142,0.625,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
6,6,1,Y(Y),6,Y,Y,0.8392,0.7894,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
7,7,1,Y(Y),6,N,Y,0.8857,0.9473,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
8,8,1,Y(Y),6,N,Y,0.8428,0.9473,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
9,9,1,Y(Y),6,N,Y,0.8384,1,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
10,10,1,Y(Y),6,N,Y,0.8076,0.75,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
11,11,1,Y(Y),6,N,Y,0.8071,0.7894,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
12,12,1,Y(Y),6,N,Y,0.7923,0.75,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
13,13,1,Y(Y),6,N,Y,0.7846,1,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
14,14,1,Y(Y),6,N,Y,0.7846,0.8333,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
15,15,1,Y(Y),6,N,Y,0.775,0.9473,4,Y,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
16,16,1,Y(Y),6,N,Y,0.7642,0.9473,4,,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
17,17,1,Y(Y),5,N,Y,0.9076,1,4,,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
18,18,1,Y(Y),5,N,Y,0.8714,0.7894,4,,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
19,19,1,Y(Y),4,Y,Y,0.9571,0.7894,4,,N,CAS4102-01,CAS4102-01,AI CAPSTONE DESIGN,2025,1,이봉신,이봉신,"수7,금7,8",15.0,13.0,1.26,19.0
